timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2016-02-08 13:04:34.448	41702928	start_recording
2016-02-08 13:04:35.997	41704477	False	7	622.9335	3564.3301	570.9427	1877.2273	25.59135	624.2338	14708.0508	251.4613	5836.6885	23.9475	0.4249	0.4826	621.6332	-7579.3906	570.0168	-3645.5752	27.2352	0.6202	0.471
2016-02-08 13:04:36.042	41704522	False	7	621.2233	3161.4905	581.3759	2144.4424	24.9901	635.7575	14026.1279	635.7575	14026.1279	23.5882	0.4247	0.482	606.6891	-7703.147	577.6835	-4485.5254	26.392	0.6198	0.4705
2016-02-08 13:04:36.075	41704555	False	7	615.1801	3170.3794	615.1801	3170.3794	25.02735	617.8192	13869.8994	617.8192	13869.8994	23.5961	0.4248	0.4805	612.541	-7529.1406	612.541	-7529.1406	26.4586	0.6198	0.4696
2016-02-08 13:04:36.108	41704588	False	7	610.9508	3170.6182	610.9508	3170.6182	25.2143	626.584	13551.0811	622.2072	13710.2871	23.8446	0.4258	0.4779	595.3176	-7209.8447	595.3176	-7209.8447	26.584	0.6203	0.4686
2016-02-08 13:04:36.152	41704632	False	4	620.817	144.2924	615.8902	1655.5253	24.8875	620.817	144.2924	621.7493	9168.7939	23.2356	0.4275	0.4739	0.0	0.0	297.2791	-3600.3245	26.5394	0.6216	0.4662
2016-02-08 13:04:36.185	41704665	False	7	1008.4127	-10798.0928	747.2957	-2515.8967	25.1442	1074.7834	-21404.1621	736.0228	1439.8311	23.5716	0.4346	0.4692	942.042	-192.0226	512.6086	-2453.2761	26.7168	0.6277	0.4635
2016-02-08 13:04:36.229	41704709	False	4	31.4297	-1279.2643	567.2375	-2221.7532	25.3471	31.4297	-1279.2643	593.6434	826.9934	23.8313	0.4357	0.4669	0.0	0.0	383.7579	-1825.5883	26.8629	0.6278	0.4623
2016-02-08 13:04:36.263	41704743	False	7	1143.0059	-25016.2324	683.46	-6862.6538	25.6368	1350.1306	-49888.8047	1350.1306	-49888.8047	23.8563	0.4356	0.4664	935.881	-143.6599	495.444	-1473.259	27.4173	0.6273	0.462
2016-02-08 13:04:36.297	41704777	False	7	365.4429	32150.6113	365.4429	32150.6113	25.4615	-216.9783	64227.7344	-216.9783	64227.7344	23.7643	0.435	0.4674	947.8641	73.4896	947.8641	73.4896	27.1587	0.6258	0.4633
2016-02-08 13:04:36.331	41704811	False	4	1010.5607	645.5724	1010.5607	645.5724	21.8291	0.0	0.0	-108.3508	32072.9062	21.5759	0.4354	0.4721	1010.5607	645.5724	1010.5607	645.5724	22.0823	0.6258	0.4703
